Frame No.,UTC Timestamp,Lat,Long,estimated_time
0,19:41:25,32.70297,-117.23463100000001,00:00:00
1,19:41:25,32.70297,-117.23463100000001,00:00:00
2,19:41:25,32.70297,-117.23463100000001,00:00:00
3,19:41:25,32.70297,-117.23463100000001,00:00:00
4,19:41:25,32.70297,-117.23463100000001,00:00:00
5,19:41:25,32.70297,-117.23463100000001,00:00:00
6,19:41:25,32.70297,-117.23463100000001,00:00:00
7,19:41:25,32.70297,-117.23463100000001,00:00:00
8,19:41:25,32.70297,-117.23463100000001,00:00:00
9,19:41:25,32.70297,-117.23463100000001,00:00:00
10,19:41:25,32.70297,-117.23463100000001,00:00:00
11,19:41:25,32.70297,-117.23463100000001,00:00:00
12,19:41:25,32.70297,-117.23463100000001,00:00:00
13,19:41:25,32.70297,-117.23463100000001,00:00:00
14,19:41:25,32.70297,-117.23463100000001,00:00:00
15,19:41:25,32.70297,-117.23463100000001,00:00:00
16,19:41:25,32.70297,-117.23463100000001,00:00:00
17,19:41:25,32.70297,-117.23463100000001,00:00:00
18,19:41:25,32.70297,-117.23463100000001,00:00:00
19,19:41:25,32.70297,-117.23463100000001,00:00:00
20,19:41:25,32.70297,-117.23463100000001,00:00:00
21,19:41:25,32.70297,-117.23463100000001,00:00:00
22,19:41:25,32.70297,-117.23463100000001,00:00:00
23,19:41:25,32.70297,-117.23463100000001,00:00:00
24,19:41:25,32.70297,-117.23463100000001,00:00:00
25,19:41:25,32.70297,-117.23463100000001,00:00:00
26,19:41:25,32.70297,-117.23463100000001,00:00:00
27,19:41:25,32.70297,-117.23463100000001,00:00:00
28,19:41:25,32.70297,-117.23463100000001,00:00:00
29,19:41:25,32.70297,-117.23463100000001,00:00:00
30,19:41:25,32.70297,-117.23463100000001,00:00:00
31,19:41:25,32.70297,-117.23463100000001,00:00:00
32,19:41:25,32.70297,-117.23463100000001,00:00:00
33,19:41:25,32.70297,-117.23463100000001,00:00:00
34,19:41:25,32.70297,-117.23463100000001,00:00:00
35,19:41:25,32.70297,-117.23463100000001,00:00:00
36,19:41:25,32.70297,-117.23463100000001,00:00:00
37,19:41:25,32.70297,-117.23463100000001,00:00:00
38,19:41:25,32.70297,-117.23463100000001,00:00:00
39,19:41:25,32.70297,-117.23463100000001,00:00:00
40,19:41:25,32.70297,-117.23463100000001,00:00:00
41,19:41:25,32.70297,-117.23463100000001,00:00:00
42,19:41:25,32.70297,-117.23463100000001,00:00:00
43,19:41:25,32.70297,-117.23463100000001,00:00:00
44,19:41:25,32.70297,-117.23463100000001,00:00:00
45,19:41:25,32.70297,-117.23463100000001,00:00:00
46,19:41:25,32.70297,-117.23463100000001,00:00:00
47,19:41:25,32.70297,-117.23463100000001,00:00:00
48,19:41:25,32.70297,-117.23463100000001,00:00:00
49,19:41:25,32.70297,-117.23463100000001,00:00:00
50,19:41:25,32.70297,-117.23463100000001,00:00:00
51,19:41:25,32.70297,-117.23463100000001,00:00:00
52,19:41:25,32.70297,-117.23463100000001,00:00:00
53,19:41:25,32.70297,-117.23463100000001,00:00:00
54,19:41:25,32.70297,-117.23463100000001,00:00:00
55,19:41:25,32.70297,-117.23463100000001,00:00:00
56,19:41:25,32.70297,-117.23463100000001,00:00:00
57,19:41:25,32.70297,-117.23463100000001,00:00:00
58,19:41:25,32.70297,-117.23463100000001,00:00:00
59,19:41:25,32.70297,-117.23463100000001,00:00:00
60,19:41:25,32.70297,-117.23463100000001,00:00:00
61,19:41:25,32.70297,-117.23463100000001,00:00:00
62,19:41:25,32.70297,-117.23463100000001,00:00:00
63,19:41:25,32.70297,-117.23463100000001,00:00:00
64,19:41:25,32.70297,-117.23463100000001,00:00:00
65,19:41:25,32.70297,-117.23463100000001,00:00:00
66,19:41:25,32.70297,-117.23463100000001,00:00:00
67,19:41:25,32.70297,-117.23463100000001,00:00:00
68,19:41:25,32.70297,-117.23463100000001,00:00:00
69,19:41:25,32.70297,-117.23463100000001,00:00:00
70,19:41:25,32.70297,-117.23463100000001,00:00:00
71,19:41:25,32.70297,-117.23463100000001,00:00:00
