Frame No.,UTC Timestamp,Lat,Long,estimated_time,time,gps_lat,gps_lon,gps_lat_rel,gps_lon_rel,x,y,width,height,x_cent,y_cent,lat_int,lon_int
0,19:53:32,32.70297,-117.234631,19:53:36.0,0.0,,,,,593.0,425.0,16.0,8.0,601.0,433.0,0.00048009999999720776,0.0017688329999998587
1,19:53:32,32.70297,-117.234631,19:53:36.01,0.012345679012345678,,,,,592.95,425.01,15.995,8.0051,601.0,433.0,0.00048009999999720776,0.0017688329999998587
2,19:53:32,32.70297,-117.234631,19:53:36.02,0.024691358024691357,,,,,592.91,425.01,15.99,8.0103,601.0,433.0,0.00048009999999720776,0.0017688329999998587
3,19:53:32,32.70297,-117.234631,19:53:36.04,0.037037037037037035,,,,,592.86,425.02,15.985,8.0154,601.0,433.0,0.00048009999999720776,0.0017688329999998587
4,19:53:32,32.70297,-117.234631,19:53:36.05,0.04938271604938271,,,,,592.82,425.02,15.979,8.0205,601.0,433.0,0.00048009999999720776,0.0017688329999998587
5,19:53:32,32.70297,-117.234631,19:53:36.06,0.06172839506172839,,,,,592.77,425.03,15.974,8.0256,601.0,433.0,0.00048009999999720776,0.0017688329999998587
6,19:53:32,32.70297,-117.234631,19:53:36.07,0.07407407407407407,,,,,592.72,425.03,15.969,8.0308,601.0,433.0,0.00048009999999720776,0.0017688329999998587
7,19:53:32,32.70297,-117.234631,19:53:36.09,0.08641975308641975,,,,,592.68,425.04,15.964,8.0359,601.0,433.0,0.00048009999999720776,0.0017688329999998587
8,19:53:32,32.70297,-117.234631,19:53:36.1,0.09876543209876543,,,,,592.63,425.04,15.959,8.041,601.0,433.0,0.00048009999999720776,0.0017688329999998587
9,19:53:32,32.70297,-117.234631,19:53:36.11,0.1111111111111111,,,,,592.58,425.05,15.954,8.0462,601.0,433.0,0.00048009999999720776,0.0017688329999998587
10,19:53:32,32.70297,-117.234631,19:53:36.12,0.12345679012345678,,,,,592.54,425.05,15.949,8.0513,601.0,433.0,0.00048009999999720776,0.0017688329999998587
11,19:53:32,32.70297,-117.234631,19:53:36.14,0.13580246913580246,,,,,592.49,425.06,15.944,8.0564,600.0,433.0,0.00048009999999720776,0.0017688329999998587
12,19:53:32,32.70297,-117.234631,19:53:36.15,0.14814814814814814,,,,,592.45,425.06,15.938,8.0615,600.0,433.0,0.00048009999999720776,0.0017688329999998587
13,19:53:32,32.70297,-117.234631,19:53:36.16,0.16049382716049382,,,,,592.4,425.07,15.933,8.0667,600.0,433.0,0.00048009999999720776,0.0017688329999998587
14,19:53:32,32.70297,-117.234631,19:53:36.17,0.1728395061728395,,,,,592.35,425.07,15.928,8.0718,600.0,433.0,0.00048009999999720776,0.0017688329999998587
15,19:53:32,32.70297,-117.234631,19:53:36.19,0.18518518518518517,,,,,592.31,425.08,15.923,8.0769,600.0,433.0,0.00048009999999720776,0.0017688329999998587
16,19:53:32,32.70297,-117.234631,19:53:36.2,0.19753086419753085,,,,,592.26,425.08,15.918,8.0821,600.0,433.0,0.00048009999999720776,0.0017688329999998587
17,19:53:32,32.70297,-117.234631,19:53:36.21,0.20987654320987653,,,,,592.22,425.09,15.913,8.0872,600.0,433.0,0.00048009999999720776,0.0017688329999998587
18,19:53:32,32.70297,-117.234631,19:53:36.22,0.2222222222222222,,,,,592.17,425.09,15.908,8.0923,600.0,433.0,0.00048009999999720776,0.0017688329999998587
19,19:53:32,32.70297,-117.234631,19:53:36.23,0.2345679012345679,,,,,592.12,425.1,15.903,8.0974,600.0,433.0,0.00048009999999720776,0.0017688329999998587
20,19:53:32,32.70297,-117.234631,19:53:36.25,0.24691358024691357,,,,,592.08,425.1,15.897,8.1026,600.0,433.0,0.00048009999999720776,0.0017688329999998587
21,19:53:32,32.70297,-117.234631,19:53:36.26,0.25925925925925924,,,,,592.03,425.11,15.892,8.1077,600.0,433.0,0.00048009999999720776,0.0017688329999998587
22,19:53:32,32.70297,-117.234631,19:53:36.27,0.2716049382716049,,,,,591.98,425.11,15.887,8.1128,600.0,433.0,0.00048009999999720776,0.0017688329999998587
23,19:53:32,32.70297,-117.234631,19:53:36.28,0.2839506172839506,,,,,591.94,425.12,15.882,8.1179,600.0,433.0,0.00048009999999720776,0.0017688329999998587
24,19:53:32,32.70297,-117.234631,19:53:36.3,0.2962962962962963,,,,,591.89,425.12,15.877,8.1231,600.0,433.0,0.00048009999999720776,0.0017688329999998587
25,19:53:32,32.70297,-117.234631,19:53:36.31,0.30864197530864196,,,,,591.85,425.13,15.872,8.1282,600.0,433.0,0.00048009999999720776,0.0017688329999998587
26,19:53:32,32.70297,-117.234631,19:53:36.32,0.32098765432098764,,,,,591.8,425.13,15.867,8.1333,600.0,433.0,0.00048009999999720776,0.0017688329999998587
27,19:53:32,32.70297,-117.234631,19:53:36.33,0.3333333333333333,,,,,591.75,425.14,15.862,8.1385,600.0,433.0,0.00048009999999720776,0.0017688329999998587
28,19:53:32,32.70297,-117.234631,19:53:36.35,0.345679012345679,,,,,591.71,425.14,15.856,8.1436,600.0,433.0,0.00048009999999720776,0.0017688329999998587
29,19:53:32,32.70297,-117.234631,19:53:36.36,0.35802469135802467,,,,,591.66,425.15,15.851,8.1487,600.0,433.0,0.00048009999999720776,0.0017688329999998587
30,19:53:32,32.70297,-117.234631,19:53:36.37,0.37037037037037035,,,,,591.62,425.15,15.846,8.1538,600.0,433.0,0.00048009999999720776,0.0017688329999998587
31,19:53:32,32.70297,-117.234631,19:53:36.38,0.38271604938271603,,,,,591.57,425.16,15.841,8.159,599.0,433.0,0.00048009999999720776,0.0017688329999998587
32,19:53:32,32.70297,-117.234631,19:53:36.4,0.3950617283950617,,,,,591.52,425.16,15.836,8.1641,599.0,433.0,0.00048009999999720776,0.0017688329999998587
33,19:53:32,32.70297,-117.234631,19:53:36.41,0.4074074074074074,,,,,591.48,425.17,15.831,8.1692,599.0,433.0,0.00048009999999720776,0.0017688329999998587
34,19:53:32,32.70297,-117.234631,19:53:36.42,0.41975308641975306,,,,,591.43,425.17,15.826,8.1744,599.0,433.0,0.00048009999999720776,0.0017688329999998587
35,19:53:32,32.70297,-117.234631,19:53:36.43,0.43209876543209874,,,,,591.38,425.18,15.821,8.1795,599.0,433.0,0.00048009999999720776,0.0017688329999998587
36,19:53:32,32.70297,-117.234631,19:53:36.44,0.4444444444444444,,,,,591.34,425.18,15.815,8.1846,599.0,433.0,0.00048009999999720776,0.0017688329999998587
37,19:53:32,32.70297,-117.234631,19:53:36.46,0.4567901234567901,,,,,591.29,425.19,15.81,8.1897,599.0,433.0,0.00048009999999720776,0.0017688329999998587
38,19:53:32,32.70297,-117.234631,19:53:36.47,0.4691358024691358,,,,,591.25,425.19,15.805,8.1949,599.0,433.0,0.00048009999999720776,0.0017688329999998587
39,19:53:32,32.70297,-117.234631,19:53:36.48,0.48148148148148145,,,,,591.2,425.2,15.8,8.2,599.0,433.0,0.00048009999999720776,0.0017688329999998587
40,19:53:32,32.70297,-117.234631,19:53:36.49,0.49382716049382713,,,,,591.15,425.21,15.795,8.2051,599.0,433.0,0.00048009999999720776,0.0017688329999998587
41,19:53:32,32.70297,-117.234631,19:53:36.51,0.5061728395061729,,,,,591.11,425.21,15.79,8.2103,599.0,433.0,0.00048009999999720776,0.0017688329999998587
42,19:53:32,32.70297,-117.234631,19:53:36.52,0.5185185185185186,,,,,591.06,425.22,15.785,8.2154,599.0,433.0,0.00048009999999720776,0.0017688329999998587
43,19:53:32,32.70297,-117.234631,19:53:36.53,0.5308641975308643,,,,,591.02,425.22,15.779,8.2205,599.0,433.0,0.00048009999999720776,0.0017688329999998587
44,19:53:32,32.70297,-117.234631,19:53:36.54,0.5432098765432101,,,,,590.97,425.23,15.774,8.2256,599.0,433.0,0.00048009999999720776,0.0017688329999998587
45,19:53:32,32.70297,-117.234631,19:53:36.56,0.5555555555555558,,,,,590.92,425.23,15.769,8.2308,599.0,433.0,0.00048009999999720776,0.0017688329999998587
46,19:53:32,32.70297,-117.234631,19:53:36.57,0.5679012345679015,,,,,590.88,425.24,15.764,8.2359,599.0,433.0,0.00048009999999720776,0.0017688329999998587
47,19:53:32,32.70297,-117.234631,19:53:36.58,0.5802469135802473,,,,,590.83,425.24,15.759,8.241,599.0,433.0,0.00048009999999720776,0.0017688329999998587
48,19:53:32,32.70297,-117.234631,19:53:36.59,0.592592592592593,,,,,590.78,425.25,15.754,8.2462,599.0,433.0,0.00048009999999720776,0.0017688329999998587
49,19:53:32,32.70297,-117.234631,19:53:36.6,0.6049382716049387,,,,,590.74,425.25,15.749,8.2513,599.0,434.0,0.00048009999999720776,0.0017688329999998587
50,19:53:32,32.70297,-117.234631,19:53:36.62,0.6172839506172845,,,,,590.69,425.26,15.744,8.2564,599.0,434.0,0.00048009999999720776,0.0017688329999998587
51,19:53:32,32.70297,-117.234631,19:53:36.63,0.6296296296296302,,,,,590.65,425.26,15.738,8.2615,599.0,434.0,0.00048009999999720776,0.0017688329999998587
52,19:53:32,32.70297,-117.234631,19:53:36.64,0.6419753086419759,,,,,590.6,425.27,15.733,8.2667,598.0,434.0,0.00048009999999720776,0.0017688329999998587
53,19:53:32,32.70297,-117.234631,19:53:36.65,0.6543209876543217,,,,,590.55,425.27,15.728,8.2718,598.0,434.0,0.00048009999999720776,0.0017688329999998587
54,19:53:32,32.70297,-117.234631,19:53:36.67,0.6666666666666674,,,,,590.51,425.28,15.723,8.2769,598.0,434.0,0.00048009999999720776,0.0017688329999998587
55,19:53:32,32.70297,-117.234631,19:53:36.68,0.6790123456790131,,,,,590.46,425.28,15.718,8.2821,598.0,434.0,0.00048009999999720776,0.0017688329999998587
56,19:53:32,32.70297,-117.234631,19:53:36.69,0.6913580246913589,,,,,590.42,425.29,15.713,8.2872,598.0,434.0,0.00048009999999720776,0.0017688329999998587
57,19:53:32,32.70297,-117.234631,19:53:36.7,0.7037037037037046,,,,,590.37,425.29,15.708,8.2923,598.0,434.0,0.00048009999999720776,0.0017688329999998587
58,19:53:32,32.70297,-117.234631,19:53:36.72,0.7160493827160503,,,,,590.32,425.3,15.703,8.2974,598.0,434.0,0.00048009999999720776,0.0017688329999998587
59,19:53:32,32.70297,-117.234631,19:53:36.73,0.7283950617283961,,,,,590.28,425.3,15.697,8.3026,598.0,434.0,0.00048009999999720776,0.0017688329999998587
60,19:53:32,32.70297,-117.234631,19:53:36.74,0.7407407407407418,,,,,590.23,425.31,15.692,8.3077,598.0,434.0,0.00048009999999720776,0.0017688329999998587
61,19:53:32,32.70297,-117.234631,19:53:36.75,0.7530864197530875,,,,,590.18,425.31,15.687,8.3128,598.0,434.0,0.00048009999999720776,0.0017688329999998587
62,19:53:32,32.70297,-117.234631,19:53:36.77,0.7654320987654333,,,,,590.14,425.32,15.682,8.3179,598.0,434.0,0.00048009999999720776,0.0017688329999998587
63,19:53:32,32.70297,-117.234631,19:53:36.78,0.777777777777779,,,,,590.09,425.32,15.677,8.3231,598.0,434.0,0.00048009999999720776,0.0017688329999998587
64,19:53:32,32.70297,-117.234631,19:53:36.79,0.7901234567901247,,,,,590.05,425.33,15.672,8.3282,598.0,434.0,0.00048009999999720776,0.0017688329999998587
