Frame No.,UTC Timestamp,Lat,Long,estimated_time,time,gps_lat,gps_lon,gps_lat_rel,gps_lon_rel,x,y,width,height,x_cent,y_cent,dlat,dlon,d2lat,d2lon,d3lat,d3lon,d4lat,d4lon
91,19:44:15,32.70297,-117.234631,19:44:15.28,1.3080952380952369,32.704638,-117.226887667,0.0016610999999997489,0.007743332999993413,639.12,420.0,2.6265,1.3735,640.0,421.0,-8.177187500457699e-05,-0.00018229062499486287,4.679819915374204e-05,9.437321392716144e-05,2.3769819590659967e-06,-3.1787609205201015e-08,-2.2581564305055174e-05,-6.059395567792403e-05
99,19:44:15,32.70297,-117.234631,19:44:15.6,1.6280952380952372,32.704611833,-117.226946,0.0016349329999982842,0.007684999999995057,639.41,420.0,2.5301,1.4699,641.0,421.0,-6.679645127537952e-05,-0.00015209119653817119,4.755883338064316e-05,9.436304189221577e-05,-4.849118618551666e-06,-1.942185342614091e-05,-2.17947540858201e-05,-5.6032832569278346e-05
120,19:44:15,32.70297,-117.234631,19:44:16.46,2.488095238095236,32.704589,-117.227007,0.0016120999999955643,0.007623999999992748,640.17,420.0,2.2771,1.7229,641.0,422.0,-2.4137838711101142e-05,-7.096249062663387e-05,2.6687266408669963e-05,3.284495832634205e-05,-2.177409201314985e-05,-5.706819365086289e-05,-2.948234297756919e-06,9.217395177586086e-06
144,19:44:15,32.70297,-117.234631,19:44:17.46,3.4880952380952324,32.704567667,-117.227078,0.0015907669999961627,0.007552999999987264,641.02,420.0,2.0078,2.0,642.0,422.0,-2.4096818182396326e-05,-0.00010961840000024183,7.814537078949521e-06,-7.404093861389702e-06,-5.2665503529197685e-06,1.3768049657396245e-05,1.3287609580635714e-06,-3.7964941545710617e-06
164,19:44:15,32.70297,-117.234631,19:44:18.29,4.321428571428566,32.704545667,-117.227196167,0.001568766999994864,0.007434832999990704,641.33,420.0,2.1641,2.0,642.0,422.0,-1.2186428567823992e-05,-9.408582855680372e-05,1.2874480518739154e-05,4.1581157134446304e-05,-1.4700069486593618e-05,-4.122398537615655e-05,-1.6805657628002675e-05,-0.00010512114390841096
172,19:44:15,32.70297,-117.234631,19:44:18.62,4.6547619047619015,32.7045435,-117.227221167,0.001566599999996754,0.007409832999996979,641.45,420.0,2.2266,2.0,643.0,422.0,-8.083999997410599e-06,-7.716649999167874e-05,5.204857141295717e-06,1.4505657132905874e-05,-2.10333466516071e-05,-8.148179359471355e-05,-3.2234304962435093e-06,-3.6284212665436056e-05
186,19:44:15,32.70297,-117.234631,19:44:19.28,5.321428571428569,32.704536,-117.2272755,0.0015590999999943733,0.007355499999988524,641.67,420.0,2.3359,2.0,643.0,422.0,-1.4083999996472585e-05,-0.00011583249998636629,-6.183342652144988e-06,-4.0155930050360346e-05,-2.1470989840404575e-06,6.9810139486407245e-06,2.315427377718891e-05,0.00012349183873228606
192,19:44:15,32.70297,-117.234631,19:44:19.61,5.6547619047619015,32.704530833,-117.227319833,0.0015539329999967322,0.007311166999997454,641.77,420.0,2.3828,2.0,643.0,422.0,-1.567567132277958e-05,-0.00012624396501287457,-4.409842195805065e-06,-2.3000026280223593e-05,4.708475987662324e-06,4.661123142894509e-05,1.709177800626575e-05,9.73389433896686e-05
234,19:44:20,32.70297,-117.234631,19:44:21.46,7.488095238095244,32.704500333,-117.227483167,0.0015234329999955776,0.0071478329999905554,642.42,420.0,2.7109,2.0,644.0,422.0,-2.0078233202003044e-05,-8.538079446699363e-05,-1.9488921471119143e-06,1.3484392534733411e-05,1.0043543349856141e-06,7.75289470994914e-06,-1.1706978354171275e-06,-1.378129047707191e-05
282,19:44:20,32.70297,-117.234631,19:44:23.46,9.488095238095227,32.704452667,-117.227645833,0.0014757669999951872,0.006985166999996295,643.07,420.07,3.0,2.0,645.0,422.0,-2.2988733332833224e-05,-7.762206666560268e-05,-6.775988703275451e-07,2.4861149634982036e-06,5.169197338647416e-07,-3.633324247596424e-06,-1.809332708520708e-07,-3.020952516964973e-06
